eul_aid,eul_wid,author_display_string,author_english,author_greek,work_display_string,work_english,work_greek,period,dialect,domain,format,affiliation,passages,grc_pdf,grc_md,grc_txt
jlu,jlu-aa,abydenus-the-historian,Abydenus the Historian,Ἀβυδηνὸς ὁ ἱστορικός,abydenus-assyrian-median-history,On Assyrian and Median History,Ἀποσπάσματα,Hellenistic,Ionic (frg),History,Prose,,6,grc/abydenus-assyrian-median-history-jlu-aa.grc.pdf,grc/abydenus-assyrian-median-history-jlu-aa.grc.md,grc/abydenus-assyrian-median-history-jlu-aa.grc.txt
dha,dha-aa,achaios-of-eretria,Achaios of Eretria,Ἀχαιός ὁ Ἐρετριεύς,achaios-eretria-athletes-satyrs,Fragments on Athletes and Satyrs,Ἀποσπάσματα περὶ Ἀθλητῶν καὶ Σατύρων,Classical,"Attic (dr, frg)",Drama,Verse,,134,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.pdf,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.md,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.txt
que,que-aa,achilles-tatius-of-alexandria,Achilles Tatius of Alexandria,Ἀχιλλεὺς ὁ Τατίος ὁ Ἀλεξανδρεύς,achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon,Adventures of Leucippe and Clitophon,τὰ κατὰ Λευκίππην καὶ Κλειτοφῶντα,Roman,Koine,Fiction,Prose,Sophist,837,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.pdf,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.md,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.txt
pbo,pbo-aa,achilles-tatius-the-astronomer,Achilles Tatius the Astronomer,Ἀχιλλεὺς Τάτιος ὁ Ἀστρονόμος,achilles-tatius-excerpted-introduction,Excerpted Introduction,Ἐκλογὴ Εἰσαγωγῆς,Roman,Technical Koine,Science,Treatise,,51,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.pdf,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.md,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.txt
bls,bls-ad,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-cosmogony,Fragments on Cosmogony,Ἀποσπάσματα περὶ Κοσμογονίας,Archaic,Ionic (frg),History,Collection,,44,grc/acusilaus-argos-cosmogony-bls-ad.grc.pdf,grc/acusilaus-argos-cosmogony-bls-ad.grc.md,grc/acusilaus-argos-cosmogony-bls-ad.grc.txt
bls,bls-ac,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-rivers,Fragments on Rivers,Ἀποσπάσματα περὶ Ποταμῶν,Archaic,Ionic (frg),History,Collection,,51,grc/acusilaus-argos-rivers-bls-ac.grc.pdf,grc/acusilaus-argos-rivers-bls-ac.grc.md,grc/acusilaus-argos-rivers-bls-ac.grc.txt
bls,bls-aa,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-testimonies,Testimonies 1,Μαρτυρίαι Α',Archaic,Ionic (frg),History,Collection,,13,grc/acusilaus-argos-testimonies-bls-aa.grc.pdf,grc/acusilaus-argos-testimonies-bls-aa.grc.md,grc/acusilaus-argos-testimonies-bls-aa.grc.txt
bls,bls-ab,acusilaus-of-argos,Acusilaus of Argos,Ἀκουσίλαος ὁ Ἀργεῖος,acusilaus-argos-testimonies,Testimonies 2,Μαρτυρίαι Β',Archaic,Ionic (frg),History,Collection,,5,grc/acusilaus-argos-testimonies-bls-ab.grc.pdf,grc/acusilaus-argos-testimonies-bls-ab.grc.md,grc/acusilaus-argos-testimonies-bls-ab.grc.txt
ayg,ayg-aa,aegimius,Aegimius,Αἰγίμιος,aegimius-text,Aegimius,Αἰγίμιος,Archaic,Epic (Homeric) (frg),Epic,Verse,,12,grc/aegimius-text-ayg-aa.grc.pdf,grc/aegimius-text-ayg-aa.grc.md,grc/aegimius-text-ayg-aa.grc.txt
ria,ria-ad,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-excerpts,Excerpts,Ἀποσπασμάτια,Roman,Koine,Oratory,Oration,Sophist,233,grc/aelian-praeneste-excerpts-ria-ad.grc.pdf,grc/aelian-praeneste-excerpts-ria-ad.grc.md,grc/aelian-praeneste-excerpts-ria-ad.grc.txt
ria,ria-aa,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-rustic-letters,From Aelian's Rustic Letters,ἐκ τῶν Αἰλιανοῦ ἀγροικικῶν ἐπιστολῶν,Roman,Koine,Oratory,Oration,Sophist,20,grc/aelian-praeneste-rustic-letters-ria-aa.grc.pdf,grc/aelian-praeneste-rustic-letters-ria-aa.grc.md,grc/aelian-praeneste-rustic-letters-ria-aa.grc.txt
ria,ria-ab,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-nature-animals,On the Nature of Animals,Περὶ ζῴων ἰδιότητος,Roman,Koine,Oratory,Oration,Sophist,781,grc/aelian-praeneste-nature-animals-ria-ab.grc.pdf,grc/aelian-praeneste-nature-animals-ria-ab.grc.md,grc/aelian-praeneste-nature-animals-ria-ab.grc.txt
ria,ria-ac,aelian-of-praeneste,Aelian of Praeneste,Κλαύδιος Αἰλιανός,aelian-praeneste-varied-history,Varied History,Ποικίλη ἱστορία,Roman,Koine,Oratory,Oration,Sophist,408,grc/aelian-praeneste-varied-history-ria-ac.grc.pdf,grc/aelian-praeneste-varied-history-ria-ac.grc.md,grc/aelian-praeneste-varied-history-ria-ac.grc.txt
opg,opg-aa,aelian-the-tactician,Aelian the Tactician,Αἰλιανός ὁ Τακτικός,aelian-tactician-tactics,Tactics,Τακτικά,Roman,Technical Koine,Science,Treatise,,174,grc/aelian-tactician-tactics-opg-aa.grc.pdf,grc/aelian-tactician-tactics-opg-aa.grc.md,grc/aelian-tactician-tactics-opg-aa.grc.txt
pnc,pnc-ab,aelius-aristides-of-smyrna,Aelius Aristides of Smyrna,Πόπλιος Αἴλιος Ἀριστείδης Θεόδωρος,aelius-aristides-smyrna-christian-apologetic,Christian Apologetic Fragments,Ἀπολογητικὰ Χριστιανικὰ Ἀποσπάσματα,Roman,Attic,Theology,Treatise,Sophist,3,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.pdf,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.md,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.txt
pnc,pnc-ac,aelius-aristides-of-smyrna,Aelius Aristides of Smyrna,Πόπλιος Αἴλιος Ἀριστείδης Θεόδωρος,aelius-aristides-smyrna-nature-god-humanity,On the Nature of God and Humanity,Ἀποσπάσματα,Roman,Attic,Theology,Treatise,Sophist,52,grc/aelius-aristides-smyrna-nature-god-humanity-pnc-ac.grc.pdf,grc/aelius-aristides-smyrna-nature-god-humanity-pnc-ac.grc.md,grc/aelius-aristides-smyrna-nature-god-humanity-pnc-ac.grc.txt
pnc,pnc-aa,aelius-aristides-of-smyrna,Aelius Aristides of Smyrna,Πόπλιος Αἴλιος Ἀριστείδης Θεόδωρος,aelius-aristides-smyrna-philosophical-fragments,Philosophical Fragments,Φιλοσοφικὰ Ἀποσπάσματα,Roman,Attic,Theology,Treatise,Sophist,2,grc/aelius-aristides-smyrna-philosophical-fragments-pnc-aa.grc.pdf,grc/aelius-aristides-smyrna-philosophical-fragments-pnc-aa.grc.md,grc/aelius-aristides-smyrna-philosophical-fragments-pnc-aa.grc.txt
psw,psw-aa,aelius-dionysius,Aelius Dionysius of Halicarnassus,Αἴλιος Διονύσιος ὁ Ἁλικαρνασσεύς,aelius-dionysius-halicarnassus-attic-names,Attic Names,Ἀττικὰ ὀνόματα,Roman,Atticizing Technical,Grammar,Treatise,Sophist,600,grc/aelius-dionysius-halicarnassus-attic-names-psw-aa.grc.pdf,grc/aelius-dionysius-halicarnassus-attic-names-psw-aa.grc.md,grc/aelius-dionysius-halicarnassus-attic-names-psw-aa.grc.txt
mvc,mvc-aa,aelius-dius-the-historian,Aelius Dius the Historian,Αἰλίους Δῖος,aelius-dius-alexandria,Fragments on Alexandria,Ἀποσπάσματα περὶ Ἀλεξανδρείας,Hellenistic,Koine (frg),History,Prose,,4,grc/aelius-dius-alexandria-mvc-aa.grc.pdf,grc/aelius-dius-alexandria-mvc-aa.grc.md,grc/aelius-dius-alexandria-mvc-aa.grc.txt
rdk,rdk-aa,aelius-moeris-the-atticist,Aelius Moeris the Atticist,Αἴλιος Μοίρης ὁ Ἀττικιστής,aelius-moeris-attic-lexicon,Attic Lexicon,Ἀττικὸν Λεξικόν,Roman,Atticizing Technical,Grammar,Treatise,,28,grc/aelius-moeris-attic-lexicon-rdk-aa.grc.pdf,grc/aelius-moeris-attic-lexicon-rdk-aa.grc.md,grc/aelius-moeris-attic-lexicon-rdk-aa.grc.txt
nxo,nxo-aa,aelius-theon-the-sophist,Aelius Theon the Sophist,Αἴλιος Θέων ὁ σοφιστής,aelius-theon-preliminary-exercises,Preliminary Exercises,Προγυμνάσματα,Roman,Koine,Oratory,Oration,Sophist,72,grc/aelius-theon-preliminary-exercises-nxo-aa.grc.pdf,grc/aelius-theon-preliminary-exercises-nxo-aa.grc.md,grc/aelius-theon-preliminary-exercises-nxo-aa.grc.txt
tfg,tfg-ab,aeneas-of-gaza,Aeneas of Gaza,Αἰνείας ὁ Γαζαῖος,aeneas-gaza-letters-to-john,Letters to John,Ἐπιστολαὶ πρὸς Ἰωάννην,Late Antique,Christian Koine,Philosophy,Oration,Christian,26,grc/aeneas-gaza-letters-to-john-tfg-ab.grc.pdf,grc/aeneas-gaza-letters-to-john-tfg-ab.grc.md,grc/aeneas-gaza-letters-to-john-tfg-ab.grc.txt
tfg,tfg-aa,aeneas-of-gaza,Aeneas of Gaza,Αἰνείας ὁ Γαζαῖος,aeneas-gaza-immortality-resurrection,Theophrastus or-the Immortality of Souls and Resurrection of Bodies Dialogue,Θεόφραστος ἢ Περὶ Ἀθανασίας Ψυχῶν καὶ Ἀναστάσεως,Late Antique,Christian Koine,Philosophy,Oration,Christian,68,grc/aeneas-gaza-immortality-resurrection-tfg-aa.grc.pdf,grc/aeneas-gaza-immortality-resurrection-tfg-aa.grc.md,grc/aeneas-gaza-immortality-resurrection-tfg-aa.grc.txt
ftq,ftq-aa,aeneas-of-stymphalus,Aeneas of Stymphalus,Αἰνείας ὁ Στυμφάλιος,aeneas-stymphalus-under-siege-resist,On How Those Under Siege Should Resist,Περὶ τοῦ πῶς χρὴ πολιορκουμένους ἀντέχειν,Classical,Attic,Science,Treatise,,236,grc/aeneas-stymphalus-under-siege-resist-ftq-aa.grc.pdf,grc/aeneas-stymphalus-under-siege-resist-ftq-aa.grc.md,grc/aeneas-stymphalus-under-siege-resist-ftq-aa.grc.txt
ule,ule-aa,aeschines-lives,Aeschines Lives,Ἀισχίνου Βίοι,aeschines-lives,Lives of Aeschines,Βίοι Αἰσχίνου,Late Antique,Koine,Biography,Prose,,4,grc/aeschines-lives-ule-aa.grc.pdf,grc/aeschines-lives-ule-aa.grc.md,grc/aeschines-lives-ule-aa.grc.txt
hbm,hbm-aa,aeschines-of-athens,Aeschines of Athens,Αἰσχίνης ὁ Ἀθηναῖος,aeschines-athens-against-ctesiphon,Against Ctesiphon,Κατά Κτησιφώντος,Classical,Attic,Oratory,Oration,,205,grc/aeschines-athens-against-ctesiphon-hbm-aa.grc.pdf,grc/aeschines-athens-against-ctesiphon-hbm-aa.grc.md,grc/aeschines-athens-against-ctesiphon-hbm-aa.grc.txt
hbm,hbm-ab,aeschines-of-athens,Aeschines of Athens,Αἰσχίνης ὁ Ἀθηναῖος,aeschines-athens-against-timarchus,Against Timarchus,Κατὰ Τιμάρχου,Classical,Attic,Oratory,Oration,,164,grc/aeschines-athens-against-timarchus-hbm-ab.grc.pdf,grc/aeschines-athens-against-timarchus-hbm-ab.grc.md,grc/aeschines-athens-against-timarchus-hbm-ab.grc.txt
hbm,hbm-ad,aeschines-of-athens,Aeschines of Athens,Αἰσχίνης ὁ Ἀθηναῖος,aeschines-athens-letters-delos,Letters from Delos,Ἐπιστολαὶ ἐκ Δήλου,Classical,Attic,Oratory,Oration,,53,grc/aeschines-athens-letters-delos-hbm-ad.grc.pdf,grc/aeschines-athens-letters-delos-hbm-ad.grc.md,grc/aeschines-athens-letters-delos-hbm-ad.grc.txt
hbm,hbm-ac,aeschines-of-athens,Aeschines of Athens,Αἰσχίνης ὁ Ἀθηναῖος,aeschines-athens-embassy,On the Embassy,Περὶ τῆς παραπρεσβείας,Classical,Attic,Oratory,Oration,,148,grc/aeschines-athens-embassy-hbm-ac.grc.pdf,grc/aeschines-athens-embassy-hbm-ac.grc.md,grc/aeschines-athens-embassy-hbm-ac.grc.txt
dys,dys-ab,aeschines-of-sphettus,Aeschines of Sphettus,Αἰσχίνης ὁ Σφήττιος,aeschines-sphettus-fragments-education,Fragments on Socrates and Education,Ἀποσπάσματα περὶ Σωκράτους καὶ Παιδείας,Classical,"Attic (phi, frg)",Philosophy,Dialogue,Socratic,17,grc/aeschines-sphettus-fragments-education-dys-ab.grc.pdf,grc/aeschines-sphettus-fragments-education-dys-ab.grc.md,grc/aeschines-sphettus-fragments-education-dys-ab.grc.txt
dys,dys-aa,aeschines-of-sphettus,Aeschines of Sphettus,Αἰσχίνης ὁ Σφήττιος,aeschines-sphettus-socrates-education,Fragments on Socrates and Education,Ἀποσπάσματα περὶ Σωκράτους καὶ Παιδείας,Classical,"Attic (phi, frg)",Philosophy,Dialogue,Socratic,139,grc/aeschines-sphettus-socrates-education-dys-aa.grc.pdf,grc/aeschines-sphettus-socrates-education-dys-aa.grc.md,grc/aeschines-sphettus-socrates-education-dys-aa.grc.txt
hvc,hvc-ab,aeschrion-of-samos,Aeschrion of Samos,Αἰσχρίων ὁ Σάμιος,aeschrion-samos-epigram,Epigram,Ἐπίγραμμα,Hellenistic,"Ionic (ia, frg)",Poetry,Verse,,9,grc/aeschrion-samos-epigram-hvc-ab.grc.pdf,grc/aeschrion-samos-epigram-hvc-ab.grc.md,grc/aeschrion-samos-epigram-hvc-ab.grc.txt
hvc,hvc-aa,aeschrion-of-samos,Aeschrion of Samos,Αἰσχρίων ὁ Σάμιος,aeschrion-samos-fragments,Fragments and Titles,Ἀποσπάσματα καὶ Τίτλοι,Hellenistic,"Ionic (ia, frg)",Poetry,Verse,,10,grc/aeschrion-samos-fragments-hvc-aa.grc.pdf,grc/aeschrion-samos-fragments-hvc-aa.grc.md,grc/aeschrion-samos-fragments-hvc-aa.grc.txt
mjy,mjy-aa,aeschylus-of-alexandria,Aeschylus of Alexandria,Αἰσχύλος ὁ Ἀλεξανδρεύς,aeschylus-alexandria-testimony,Testimony,Μαρτυρία,Hellenistic,Epic (Homeric),Drama,Verse,,1,grc/aeschylus-alexandria-testimony-mjy-aa.grc.pdf,grc/aeschylus-alexandria-testimony-mjy-aa.grc.md,grc/aeschylus-alexandria-testimony-mjy-aa.grc.txt
tro,tro-aa,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-persians-glosses,Argument and Interlinear Glosses-the Persians,Ἐπιχείρημα καὶ Ἐνδιάμεσοι Γλῶσσαι εἰς Πέρσας,Late Antique,Byzantine Greek,Grammar,Verse,,981,grc/aeschylus-scholia-persians-glosses-tro-aa.grc.pdf,grc/aeschylus-scholia-persians-glosses-tro-aa.grc.md,grc/aeschylus-scholia-persians-glosses-tro-aa.grc.txt
tro,tro-ak,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-catalogue-fables,Catalogue of Fables,Κατάλογος Μύθων,Late Antique,Byzantine Greek,Grammar,Verse,,20,grc/aeschylus-scholia-catalogue-fables-tro-ak.grc.pdf,grc/aeschylus-scholia-catalogue-fables-tro-ak.grc.md,grc/aeschylus-scholia-catalogue-fables-tro-ak.grc.txt
tro,tro-af,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-prometheus-bound,Later Scholia on Prometheus Bound,Σχόλια εἰς Προμηθέα Δεσμώτην,Late Antique,Byzantine Greek,Grammar,Verse,,221,grc/aeschylus-scholia-prometheus-bound-tro-af.grc.pdf,grc/aeschylus-scholia-prometheus-bound-tro-af.grc.md,grc/aeschylus-scholia-prometheus-bound-tro-af.grc.txt
tro,tro-an,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-persians,Magister's Commentary on Persians,Σχόλια εἰς Πέρσας,Late Antique,Byzantine Greek,Grammar,Verse,,1402,grc/aeschylus-scholia-persians-tro-an.grc.pdf,grc/aeschylus-scholia-persians-tro-an.grc.md,grc/aeschylus-scholia-persians-tro-an.grc.txt
tro,tro-ao,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-persians,Marginal Scholia on Persians,Σχόλια εἰς Πέρσας,Late Antique,Byzantine Greek,Grammar,Verse,,423,grc/aeschylus-scholia-persians-tro-ao.grc.pdf,grc/aeschylus-scholia-persians-tro-ao.grc.md,grc/aeschylus-scholia-persians-tro-ao.grc.txt
tro,tro-al,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-persians,Old Scholia on Persians,Σχόλια εἰς Πέρσας,Late Antique,Byzantine Greek,Grammar,Verse,,231,grc/aeschylus-scholia-persians-tro-al.grc.pdf,grc/aeschylus-scholia-persians-tro-al.grc.md,grc/aeschylus-scholia-persians-tro-al.grc.txt
tro,tro-ae,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-prometheus-bound,Old Scholia on Prometheus Bound,Σχόλια εἰς Προμηθέα Δεσμώτην,Late Antique,Byzantine Greek,Grammar,Verse,,842,grc/aeschylus-scholia-prometheus-bound-tro-ae.grc.pdf,grc/aeschylus-scholia-prometheus-bound-tro-ae.grc.md,grc/aeschylus-scholia-prometheus-bound-tro-ae.grc.txt
tro,tro-ab,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-prototriclinian,Prototriclinian Scholia-Aeschylus,Πρωτοτρικλίνια Σχόλια εἰς Αἰσχύλον,Late Antique,Byzantine Greek,Grammar,Verse,,167,grc/aeschylus-scholia-prototriclinian-tro-ab.grc.pdf,grc/aeschylus-scholia-prototriclinian-tro-ab.grc.md,grc/aeschylus-scholia-prototriclinian-tro-ab.grc.txt
tro,tro-ac,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-persians,Scholia and Glosses on Persians,Σχόλια καὶ Γλῶσσαι εἰς Πέρσας,Late Antique,Byzantine Greek,Grammar,Verse,,193,grc/aeschylus-scholia-persians-tro-ac.grc.pdf,grc/aeschylus-scholia-persians-tro-ac.grc.md,grc/aeschylus-scholia-persians-tro-ac.grc.txt
tro,tro-ag,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-text,Scholia on Aeschylus (Agamemnon),Σχόλια εἰς Αἰσχύλον,Late Antique,Byzantine Greek,Grammar,Verse,,10271,grc/aeschylus-scholia-text-tro-ag.grc.pdf,grc/aeschylus-scholia-text-tro-ag.grc.md,grc/aeschylus-scholia-text-tro-ag.grc.txt
tro,tro-ai,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-text,Scholia on Aeschylus (Prometheus and Other Plays),Σχόλια εἰς Αἰσχύλον,Late Antique,Byzantine Greek,Grammar,Verse,,2741,grc/aeschylus-scholia-text-tro-ai.grc.pdf,grc/aeschylus-scholia-text-tro-ai.grc.md,grc/aeschylus-scholia-text-tro-ai.grc.txt
tro,tro-ad,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-meters,Scholia-Aeschylus's Meters,Σχόλια εἰς τοὺς Μέτρους τοῦ Αἰσχύλου,Late Antique,Byzantine Greek,Grammar,Verse,,129,grc/aeschylus-scholia-meters-tro-ad.grc.pdf,grc/aeschylus-scholia-meters-tro-ad.grc.md,grc/aeschylus-scholia-meters-tro-ad.grc.txt
tro,tro-aj,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-eumenides,Scholia-Eumenides,Σχόλια εἰς Εὐμενίδας,Late Antique,Byzantine Greek,Grammar,Verse,,308,grc/aeschylus-scholia-eumenides-tro-aj.grc.pdf,grc/aeschylus-scholia-eumenides-tro-aj.grc.md,grc/aeschylus-scholia-eumenides-tro-aj.grc.txt
tro,tro-am,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-persians,Scholia-Persians,Σχόλια εἰς Πέρσας,Late Antique,Byzantine Greek,Grammar,Verse,,350,grc/aeschylus-scholia-persians-tro-am.grc.pdf,grc/aeschylus-scholia-persians-tro-am.grc.md,grc/aeschylus-scholia-persians-tro-am.grc.txt
tro,tro-ah,aeschylus-scholia,Aeschylus Scholia,Αἰσχύλου Σχόλια,aeschylus-scholia-text,Triclinian Scholia on Aeschylus (Agamemnon),Σχόλια εἰς Αἰσχύλον,Late Antique,Byzantine Greek,Grammar,Verse,,1698,grc/aeschylus-scholia-text-tro-ah.grc.pdf,grc/aeschylus-scholia-text-tro-ah.grc.md,grc/aeschylus-scholia-text-tro-ah.grc.txt
emo,emo-ae,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-agamemnon,Agamemnon,Ἀγαμέμνων,Classical,Attic Drama,Drama,Verse,,1656,grc/aeschylus-agamemnon-emo-ae.grc.pdf,grc/aeschylus-agamemnon-emo-ae.grc.md,grc/aeschylus-agamemnon-emo-ae.grc.txt
emo,emo-ai,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-epigrams,Epigrams,Ἐπιγράμματα,Classical,Attic Drama,Drama,Verse,,7,grc/aeschylus-epigrams-emo-ai.grc.pdf,grc/aeschylus-epigrams-emo-ai.grc.md,grc/aeschylus-epigrams-emo-ai.grc.txt
emo,emo-af,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-eumenides,Eumenides,Εὐμενίδες,Classical,Attic Drama,Drama,Verse,,1055,grc/aeschylus-eumenides-emo-af.grc.pdf,grc/aeschylus-eumenides-emo-af.grc.md,grc/aeschylus-eumenides-emo-af.grc.txt
emo,emo-ag,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-oresteia-fragments,Fragments of the Oresteia,Ἀποσπάσματα τῆς Ὀρεστείας,Classical,Attic Drama,Drama,Verse,,3368,grc/aeschylus-oresteia-fragments-emo-ag.grc.pdf,grc/aeschylus-oresteia-fragments-emo-ag.grc.md,grc/aeschylus-oresteia-fragments-emo-ag.grc.txt
emo,emo-ah,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-palici-thebes,Fragments on the Palici and Thebes,Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν,Classical,Attic Drama,Drama,Verse,,1240,grc/aeschylus-palici-thebes-emo-ah.grc.pdf,grc/aeschylus-palici-thebes-emo-ah.grc.md,grc/aeschylus-palici-thebes-emo-ah.grc.txt
emo,emo-ab,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-libation-bearers,Libation Bearers,Χοηφόροι,Classical,Attic Drama,Drama,Verse,,1089,grc/aeschylus-libation-bearers-emo-ab.grc.pdf,grc/aeschylus-libation-bearers-emo-ab.grc.md,grc/aeschylus-libation-bearers-emo-ab.grc.txt
emo,emo-aj,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-persians,Persians,Πέρσαι,Classical,Attic Drama,Drama,Verse,,1052,grc/aeschylus-persians-emo-aj.grc.pdf,grc/aeschylus-persians-emo-aj.grc.md,grc/aeschylus-persians-emo-aj.grc.txt
emo,emo-ac,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-prometheus-bound,Prometheus Bound,Προμηθεὺς Δεσμώτης,Classical,Attic Drama,Drama,Verse,,1116,grc/aeschylus-prometheus-bound-emo-ac.grc.pdf,grc/aeschylus-prometheus-bound-emo-ac.grc.md,grc/aeschylus-prometheus-bound-emo-ac.grc.txt
emo,emo-aa,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-seven-thebes,Seven-Thebes,Ἑπτὰ ἐπὶ Θήβας,Classical,Attic Drama,Drama,Verse,,1079,grc/aeschylus-seven-thebes-emo-aa.grc.pdf,grc/aeschylus-seven-thebes-emo-aa.grc.md,grc/aeschylus-seven-thebes-emo-aa.grc.txt
emo,emo-ad,aeschylus-the-tragedian,Aeschylus the Tragedian,Αἰσχύλος ὁ τραγικός,aeschylus-supplicants,Supplicants,Ἱκέτιδες,Classical,Attic Drama,Drama,Verse,,1075,grc/aeschylus-supplicants-emo-ad.grc.pdf,grc/aeschylus-supplicants-emo-ad.grc.md,grc/aeschylus-supplicants-emo-ad.grc.txt
pqy,pqy-ab,aesop-life-anon,Aesop Life-anonymous,Αἰσώπου Βίος-ἀνώνυμος,aesop-mythical-book,Aesop's Mythical Book,Βιβλίον μυθικὸν τοῦ Αἰσώπου,Roman,Koine,Fiction,Prose,,2,grc/aesop-mythical-book-pqy-ab.grc.pdf,grc/aesop-mythical-book-pqy-ab.grc.md,grc/aesop-mythical-book-pqy-ab.grc.txt
pqy,pqy-ad,aesop-life-anon,Aesop Life-anonymous,Αἰσώπου Βίος-ἀνώνυμος,aesop-life-g,Life G,Βίος Γ,Roman,Koine,Fiction,Prose,,137,grc/aesop-life-g-pqy-ad.grc.pdf,grc/aesop-life-g-pqy-ad.grc.md,grc/aesop-life-g-pqy-ad.grc.txt
pqy,pqy-ac,aesop-life-anon,Aesop Life-anonymous,Αἰσώπου Βίος-ἀνώνυμος,aesop-life,Life of Aesop,Βίος Αἰσώπου,Roman,Koine,Fiction,Prose,,3,grc/aesop-life-pqy-ac.grc.pdf,grc/aesop-life-pqy-ac.grc.md,grc/aesop-life-pqy-ac.grc.txt
pqy,pqy-aa,aesop-life-anon,Aesop Life-anonymous,Αἰσώπου Βίος-ἀνώνυμος,aesop-life,Life of Aesop Pl or Accursiana,Βίος Αἰσώπου Πλ ἢ Ἀκκουρσιανός,Roman,Koine,Fiction,Prose,,80,grc/aesop-life-pqy-aa.grc.pdf,grc/aesop-life-pqy-aa.grc.md,grc/aesop-life-pqy-aa.grc.txt
pqy,pqy-ae,aesop-life-anon,Aesop Life-anonymous,Αἰσώπου Βίος-ἀνώνυμος,aesop-life-w,Life W,Βίος,Roman,Koine,Fiction,Prose,,138,grc/aesop-life-w-pqy-ae.grc.pdf,grc/aesop-life-w-pqy-ae.grc.md,grc/aesop-life-w-pqy-ae.grc.txt
aqo,aqo-aq,aesop-the-fabulist,Aesop the Fabulist,Αἴσωπος ὁ μυθολόγος,aesop-fables,Aesopic Fables (Anonymous Collection),Μῦθοι,Archaic,Mixed Dialects,Fiction,Prose,,4,grc/aesop-fables-aqo-aq.grc.pdf,grc/aesop-fables-aqo-aq.grc.md,grc/aesop-fables-aqo-aq.grc.txt
