eul_aid,eul_wid,author_display_string,work_display_string,work_english,work_greek,domain,grc_md,grc_md_bytes,grc_md_text_offset
jlu,jlu-aa,abydenus-the-historian,abydenus-assyrian-median-history,On Assyrian and Median History,Ἀποσπάσματα,History,grc/abydenus-assyrian-median-history-jlu-aa.grc.md,20268,572
dha,dha-aa,achaios-of-eretria,achaios-eretria-athletes-satyrs,Fragments on Athletes and Satyrs,Ἀποσπάσματα περὶ Ἀθλητῶν καὶ Σατύρων,Drama,grc/achaios-eretria-athletes-satyrs-dha-aa.grc.md,7743,668
que,que-aa,achilles-tatius-of-alexandria,achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon,Adventures of Leucippe and Clitophon,τὰ κατὰ Λευκίππην καὶ Κλειτοφῶντα,Fiction,grc/achilles-tatius-alexandria-adventures-of-leucippe-and-clitophon-que-aa.grc.md,519237,734
pbo,pbo-aa,achilles-tatius-the-astronomer,achilles-tatius-excerpted-introduction,Excerpted Introduction,Ἐκλογὴ Εἰσαγωγῆς,Science,grc/achilles-tatius-excerpted-introduction-pbo-aa.grc.md,158355,609
bls,bls-ad,acusilaus-of-argos,acusilaus-argos-cosmogony,Fragments on Cosmogony,Ἀποσπάσματα περὶ Κοσμογονίας,History,grc/acusilaus-argos-cosmogony-bls-ad.grc.md,22134,601
bls,bls-ac,acusilaus-of-argos,acusilaus-argos-rivers,Fragments on Rivers,Ἀποσπάσματα περὶ Ποταμῶν,History,grc/acusilaus-argos-rivers-bls-ac.grc.md,35549,575
bls,bls-aa,acusilaus-of-argos,acusilaus-argos-testimonies,Testimonies 1,Μαρτυρίαι Α',History,grc/acusilaus-argos-testimonies-bls-aa.grc.md,5462,521
bls,bls-ab,acusilaus-of-argos,acusilaus-argos-testimonies,Testimonies 2,Μαρτυρίαι Β',History,grc/acusilaus-argos-testimonies-bls-ab.grc.md,2487,521
ayg,ayg-aa,aegimius,aegimius-text,Aegimius,Αἰγίμιος,Epic,grc/aegimius-text-ayg-aa.grc.md,1876,452
ria,ria-ad,aelian-of-praeneste,aelian-praeneste-excerpts,Excerpts,Ἀποσπασμάτια,Oratory,grc/aelian-praeneste-excerpts-ria-ad.grc.md,171718,502
ria,ria-aa,aelian-of-praeneste,aelian-praeneste-rustic-letters,From Aelian's Rustic Letters,ἐκ τῶν Αἰλιανοῦ ἀγροικικῶν ἐπιστολῶν,Oratory,grc/aelian-praeneste-rustic-letters-ria-aa.grc.md,27082,658
ria,ria-ab,aelian-of-praeneste,aelian-praeneste-nature-animals,On the Nature of Animals,Περὶ ζῴων ἰδιότητος,Oratory,grc/aelian-praeneste-nature-animals-ria-ab.grc.md,1269800,574
ria,ria-ac,aelian-of-praeneste,aelian-praeneste-varied-history,Varied History,Ποικίλη ἱστορία,Oratory,grc/aelian-praeneste-varied-history-ria-ac.grc.md,490165,536
opg,opg-aa,aelian-the-tactician,aelian-tactician-tactics,Tactics,Τακτικά,Science,grc/aelian-tactician-tactics-opg-aa.grc.md,126712,489
pnc,pnc-ab,aelius-aristides-of-smyrna,aelius-aristides-smyrna-christian-apologetic,Christian Apologetic Fragments,Ἀπολογητικὰ Χριστιανικὰ Ἀποσπάσματα,Theology,grc/aelius-aristides-smyrna-christian-apologetic-pnc-ab.grc.md,4954,694
pnc,pnc-ac,aelius-aristides-of-smyrna,aelius-aristides-smyrna-nature-god-humanity,On the Nature of God and Humanity,Ἀποσπάσματα,Theology,grc/aelius-aristides-smyrna-nature-god-humanity-pnc-ac.grc.md,39183,600
pnc,pnc-aa,aelius-aristides-of-smyrna,aelius-aristides-smyrna-philosophical-fragments,Philosophical Fragments,Φιλοσοφικὰ Ἀποσπάσματα,Theology,grc/aelius-aristides-smyrna-philosophical-fragments-pnc-aa.grc.md,2187,632
psw,psw-aa,aelius-dionysius,aelius-dionysius-halicarnassus-attic-names,Attic Names,Ἀττικὰ ὀνόματα,Grammar,grc/aelius-dionysius-halicarnassus-attic-names-psw-aa.grc.md,191879,596
mvc,mvc-aa,aelius-dius-the-historian,aelius-dius-alexandria,Fragments on Alexandria,Ἀποσπάσματα περὶ Ἀλεξανδρείας,History,grc/aelius-dius-alexandria-mvc-aa.grc.md,3380,616
rdk,rdk-aa,aelius-moeris-the-atticist,aelius-moeris-attic-lexicon,Attic Lexicon,Ἀττικὸν Λεξικόν,Grammar,grc/aelius-moeris-attic-lexicon-rdk-aa.grc.md,79031,558
nxo,nxo-aa,aelius-theon-the-sophist,aelius-theon-preliminary-exercises,Preliminary Exercises,Προγυμνάσματα,Oratory,grc/aelius-theon-preliminary-exercises-nxo-aa.grc.md,225537,558
tfg,tfg-ab,aeneas-of-gaza,aeneas-gaza-letters-to-john,Letters to John,Ἐπιστολαὶ πρὸς Ἰωάννην,Philosophy,grc/aeneas-gaza-letters-to-john-tfg-ab.grc.md,36733,572
tfg,tfg-aa,aeneas-of-gaza,aeneas-gaza-immortality-resurrection,Theophrastus or-the Immortality of Souls and Resurrection of Bodies Dialogue,Θεόφραστος ἢ Περὶ Ἀθανασίας Ψυχῶν καὶ Ἀναστάσεως,Philosophy,grc/aeneas-gaza-immortality-resurrection-tfg-aa.grc.md,186048,812
ftq,ftq-aa,aeneas-of-stymphalus,aeneas-stymphalus-under-siege-resist,On How Those Under Siege Should Resist,Περὶ τοῦ πῶς χρὴ πολιορκουμένους ἀντέχειν,Science,grc/aeneas-stymphalus-under-siege-resist-ftq-aa.grc.md,181518,705
ule,ule-aa,aeschines-lives,aeschines-lives,Lives of Aeschines,Βίοι Αἰσχίνου,Biography,grc/aeschines-lives-ule-aa.grc.md,15543,503
hbm,hbm-aa,aeschines-of-athens,aeschines-athens-against-ctesiphon,Against Ctesiphon,Κατά Κτησιφώντος,Oratory,grc/aeschines-athens-against-ctesiphon-hbm-aa.grc.md,241096,554
hbm,hbm-ab,aeschines-of-athens,aeschines-athens-against-timarchus,Against Timarchus,Κατὰ Τιμάρχου,Oratory,grc/aeschines-athens-against-timarchus-hbm-ab.grc.md,175392,544
hbm,hbm-ad,aeschines-of-athens,aeschines-athens-letters-delos,Letters from Delos,Ἐπιστολαὶ ἐκ Δήλου,Oratory,grc/aeschines-athens-letters-delos-hbm-ad.grc.md,54979,560
hbm,hbm-ac,aeschines-of-athens,aeschines-athens-embassy,On the Embassy,Περὶ τῆς παραπρεσβείας,Oratory,grc/aeschines-athens-embassy-hbm-ac.grc.md,162552,554
dys,dys-ab,aeschines-of-sphettus,aeschines-sphettus-fragments-education,Fragments on Socrates and Education,Ἀποσπάσματα περὶ Σωκράτους καὶ Παιδείας,Philosophy,grc/aeschines-sphettus-fragments-education-dys-ab.grc.md,9912,711
dys,dys-aa,aeschines-of-sphettus,aeschines-sphettus-socrates-education,Fragments on Socrates and Education,Ἀποσπάσματα περὶ Σωκράτους καὶ Παιδείας,Philosophy,grc/aeschines-sphettus-socrates-education-dys-aa.grc.md,46440,706
hvc,hvc-ab,aeschrion-of-samos,aeschrion-samos-epigram,Epigram,Ἐπίγραμμα,Poetry,grc/aeschrion-samos-epigram-hvc-ab.grc.md,1602,497
hvc,hvc-aa,aeschrion-of-samos,aeschrion-samos-fragments,Fragments and Titles,Ἀποσπάσματα καὶ Τίτλοι,Poetry,grc/aeschrion-samos-fragments-hvc-aa.grc.md,2183,577
mjy,mjy-aa,aeschylus-of-alexandria,aeschylus-alexandria-testimony,Testimony,Μαρτυρία,Drama,grc/aeschylus-alexandria-testimony-mjy-aa.grc.md,1086,520
tro,tro-aa,aeschylus-scholia,aeschylus-scholia-persians-glosses,Argument and Interlinear Glosses-the Persians,Ἐπιχείρημα καὶ Ἐνδιάμεσοι Γλῶσσαι εἰς Πέρσας,Scholia,grc/aeschylus-scholia-persians-glosses-tro-aa.grc.md,131120,731
tro,tro-ak,aeschylus-scholia,aeschylus-scholia-catalogue-fables,Catalogue of Fables,Κατάλογος Μύθων,Scholia,grc/aeschylus-scholia-catalogue-fables-tro-ak.grc.md,2619,561
tro,tro-af,aeschylus-scholia,aeschylus-scholia-prometheus-bound,Later Scholia on Prometheus Bound,Σχόλια εἰς Προμηθέα Δεσμώτην,Scholia,grc/aeschylus-scholia-prometheus-bound-tro-af.grc.md,328287,621
tro,tro-an,aeschylus-scholia,aeschylus-scholia-persians,Magister's Commentary on Persians,Σχόλια εἰς Πέρσας,Scholia,grc/aeschylus-scholia-persians-tro-an.grc.md,313586,547
tro,tro-ao,aeschylus-scholia,aeschylus-scholia-persians,Marginal Scholia on Persians,Σχόλια εἰς Πέρσας,Scholia,grc/aeschylus-scholia-persians-tro-ao.grc.md,53427,547
tro,tro-al,aeschylus-scholia,aeschylus-scholia-persians,Old Scholia on Persians,Σχόλια εἰς Πέρσας,Scholia,grc/aeschylus-scholia-persians-tro-al.grc.md,54392,547
tro,tro-ae,aeschylus-scholia,aeschylus-scholia-prometheus-bound,Old Scholia on Prometheus Bound,Σχόλια εἰς Προμηθέα Δεσμώτην,Scholia,grc/aeschylus-scholia-prometheus-bound-tro-ae.grc.md,389752,621
tro,tro-ab,aeschylus-scholia,aeschylus-scholia-prototriclinian,Prototriclinian Scholia-Aeschylus,Πρωτοτρικλίνια Σχόλια εἰς Αἰσχύλον,Scholia,grc/aeschylus-scholia-prototriclinian-tro-ab.grc.md,30723,663
tro,tro-ac,aeschylus-scholia,aeschylus-scholia-persians,Scholia and Glosses on Persians,Σχόλια καὶ Γλῶσσαι εἰς Πέρσας,Scholia,grc/aeschylus-scholia-persians-tro-ac.grc.md,12510,619
tro,tro-ag,aeschylus-scholia,aeschylus-scholia-text,Scholia on Aeschylus (Agamemnon),Σχόλια εἰς Αἰσχύλον,Scholia,grc/aeschylus-scholia-text-tro-ag.grc.md,1464924,551
tro,tro-ai,aeschylus-scholia,aeschylus-scholia-text,Scholia on Aeschylus (Prometheus and Other Plays),Σχόλια εἰς Αἰσχύλον,Scholia,grc/aeschylus-scholia-text-tro-ai.grc.md,1117114,551
tro,tro-ad,aeschylus-scholia,aeschylus-scholia-meters,Scholia-Aeschylus's Meters,Σχόλια εἰς τοὺς Μέτρους τοῦ Αἰσχύλου,Scholia,grc/aeschylus-scholia-meters-tro-ad.grc.md,58852,641
tro,tro-aj,aeschylus-scholia,aeschylus-scholia-eumenides,Scholia-Eumenides,Σχόλια εἰς Εὐμενίδας,Scholia,grc/aeschylus-scholia-eumenides-tro-aj.grc.md,38348,565
tro,tro-am,aeschylus-scholia,aeschylus-scholia-persians,Scholia-Persians,Σχόλια εἰς Πέρσας,Scholia,grc/aeschylus-scholia-persians-tro-am.grc.md,175965,547
tro,tro-ah,aeschylus-scholia,aeschylus-scholia-text,Triclinian Scholia on Aeschylus (Agamemnon),Σχόλια εἰς Αἰσχύλον,Scholia,grc/aeschylus-scholia-text-tro-ah.grc.md,304803,551
emo,emo-ae,aeschylus-the-tragedian,aeschylus-agamemnon,Agamemnon,Ἀγαμέμνων,Drama,grc/aeschylus-agamemnon-emo-ae.grc.md,129328,494
emo,emo-ai,aeschylus-the-tragedian,aeschylus-epigrams,Epigrams,Ἐπιγράμματα,Drama,grc/aeschylus-epigrams-emo-ai.grc.md,1440,498
emo,emo-af,aeschylus-the-tragedian,aeschylus-eumenides,Eumenides,Εὐμενίδες,Drama,grc/aeschylus-eumenides-emo-af.grc.md,82397,494
emo,emo-ag,aeschylus-the-tragedian,aeschylus-oresteia-fragments,Fragments of the Oresteia,Ἀποσπάσματα τῆς Ὀρεστείας,Drama,grc/aeschylus-oresteia-fragments-emo-ag.grc.md,488233,608
emo,emo-ah,aeschylus-the-tragedian,aeschylus-palici-thebes,Fragments on the Palici and Thebes,Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν,Drama,grc/aeschylus-palici-thebes-emo-ah.grc.md,113316,652
emo,emo-ab,aeschylus-the-tragedian,aeschylus-libation-bearers,Libation Bearers,Χοηφόροι,Drama,grc/aeschylus-libation-bearers-emo-ab.grc.md,85464,516
emo,emo-aj,aeschylus-the-tragedian,aeschylus-persians,Persians,Πέρσαι,Drama,grc/aeschylus-persians-emo-aj.grc.md,82225,476
emo,emo-ac,aeschylus-the-tragedian,aeschylus-prometheus-bound,Prometheus Bound,Προμηθεὺς Δεσμώτης,Drama,grc/aeschylus-prometheus-bound-emo-ac.grc.md,90448,556
emo,emo-aa,aeschylus-the-tragedian,aeschylus-seven-thebes,Seven-Thebes,Ἑπτὰ ἐπὶ Θήβας,Drama,grc/aeschylus-seven-thebes-emo-aa.grc.md,82449,528
emo,emo-ad,aeschylus-the-tragedian,aeschylus-supplicants,Supplicants,Ἱκέτιδες,Drama,grc/aeschylus-supplicants-emo-ad.grc.md,80022,498
pqy,pqy-ab,aesop-life-anon,aesop-mythical-book,Aesop's Mythical Book,Βιβλίον μυθικὸν τοῦ Αἰσώπου,Fiction,grc/aesop-mythical-book-pqy-ab.grc.md,2840,576
pqy,pqy-ad,aesop-life-anon,aesop-life-g,Life G,Βίος Γ,Fiction,grc/aesop-life-g-pqy-ad.grc.md,215105,444
pqy,pqy-ac,aesop-life-anon,aesop-life,Life of Aesop,Βίος Αἰσώπου,Fiction,grc/aesop-life-pqy-ac.grc.md,4626,480
pqy,pqy-aa,aesop-life-anon,aesop-life,Life of Aesop Pl or Accursiana,Βίος Αἰσώπου Πλ ἢ Ἀκκουρσιανός,Fiction,grc/aesop-life-pqy-aa.grc.md,142171,584
pqy,pqy-ae,aesop-life-anon,aesop-life-w,Life W,Βίος,Fiction,grc/aesop-life-w-pqy-ae.grc.md,169113,438
aqo,aqo-aq,aesop-the-fabulist,aesop-fables,Aesopic Fables (Anonymous Collection),Μῦθοι,Fiction,grc/aesop-fables-aqo-aq.grc.md,4783,451
aqo,aqo-ap,aesop-the-fabulist,aesop-fables,Aesopic Fables (Augustana Collection),Αισώπειων μύθων συναγωγή,Fiction,grc/aesop-fables-aqo-ap.grc.md,573698,521
aqo,aqo-af,aesop-the-fabulist,aesop-fables,Aesopic Fables (Dionian Recension),Μῦθοι Δίωνι Χρυσόστομῳ ἀνατιθέμενοι,Fiction,grc/aesop-fables-aqo-af.grc.md,4801,587
aqo,aqo-am,aesop-the-fabulist,aesop-proverbs,Aesopic Proverbs,Μῦθοι,Fiction,grc/aesop-proverbs-aqo-am.grc.md,2208,459
aqo,aqo-ao,aesop-the-fabulist,aesop-epigrams,Epigram,Ἐπίγραμμα,Fiction,grc/aesop-epigrams-aqo-ao.grc.md,1353,473
aqo,aqo-ai,aesop-the-fabulist,aesop-nicephorus-fable,Fable of Nicephorus,Μῦθος Νικηφόρου,Fiction,grc/aesop-nicephorus-fable-aqo-ai.grc.md,1957,535
aqo,aqo-ah,aesop-the-fabulist,aesop-fables-dodecasyllables,Fables in Dodecasyllables,Μῦθοι ἐν Δωδεκασυλλάβοις,Fiction,grc/aesop-fables-dodecasyllables-aqo-ah.grc.md,119720,595
aqo,aqo-ad,aesop-the-fabulist,aesop-aphthonius-fables,Fables of Aphthonius the Rhetorician,Μῦθοι Ἀφθονίου τοῦ Ῥήτορος,Fiction,grc/aesop-aphthonius-fables-aqo-ad.grc.md,35455,617
aqo,aqo-aj,aesop-the-fabulist,aesop-dositheus-fables,Fables of Dositheus,Μῦθοι Δοσιθέου,Fiction,grc/aesop-dositheus-fables-aqo-aj.grc.md,15719,531
aqo,aqo-ak,aesop-the-fabulist,aesop-fables,Fables of Libanius,Μῦθοι Λιβανίου,Fiction,grc/aesop-fables-aqo-ak.grc.md,6583,509
aqo,aqo-ag,aesop-the-fabulist,aesop-syntipas-fables,Fables of Syntipas the Philosopher,Μῦθοι Συντίπα τοῦ Φιλοσόφου,Fiction,grc/aesop-syntipas-fables-aqo-ag.grc.md,61054,609
aqo,aqo-aa,aesop-the-fabulist,aesop-brancatian-fables,Fables of the Anonymous Brancatian Rhetorician,Μῦθοι τοῦ Ἀνωνύμου Βρανκατιανοῦ Ῥήτορος,Fiction,grc/aesop-brancatian-fables-aqo-aa.grc.md,4335,689
aqo,aqo-ae,aesop-the-fabulist,aesop-themistius-fables,Fables of Themistius the Rhetorician,Μῦθοι Θεμιστίου τοῦ Ῥήτορος,Fiction,grc/aesop-themistius-fables-aqo-ae.grc.md,2194,619
aqo,aqo-ac,aesop-the-fabulist,aesop-theophylact-fables,Fables of Theophylact Simocatta the Scholar,Μῦθοι Θεοφυλάκτου Σιμοκάττου τοῦ Σχολαστικοῦ,Fiction,grc/aesop-theophylact-fables-aqo-ac.grc.md,5805,701
aqo,aqo-ab,aesop-the-fabulist,aesop-preserved-wax-tablets,Fables Preserved-Assendelftian Wax Tablets,Μῦθοι ἐν δέλτοις Ἀσσενδελφτίοις σωθέντες,Fiction,grc/aesop-preserved-wax-tablets-aqo-ab.grc.md,4230,689
aqo,aqo-an,aesop-the-fabulist,aesop-proverbs,Greek Proverbs (Paroemiae),Παροιμίαι,Fiction,grc/aesop-proverbs-aqo-an.grc.md,41308,473
aqo,aqo-al,aesop-the-fabulist,aesop-sentences,Sentences,Γνῶμαι,Fiction,grc/aesop-sentences-aqo-al.grc.md,11894,467
aci,aci-aa,aethiopis,aethiopis-text,Aethiopis,Αἰθιοπίς,Epic,grc/aethiopis-text-aci-aa.grc.md,1126,452
fza,fza-aa,aethlius-of-samos,aethlius-samos-seasons,On the Seasons of Samos,Ἀποσπάσματα,History,grc/aethlius-samos-seasons-fza-aa.grc.md,3165,526
vhc,vhc-am,aetius-of-amida,aetius-amida-medical-book-1,Medical Book I,Ἰατρικὸν Βιβλίον Αʹ,Medicine,grc/aetius-amida-medical-book-1-vhc-am.grc.md,418757,557
vhc,vhc-ag,aetius-of-amida,aetius-amida-medical-book-ii,Medical Book II,Ἰατρικὸν Βιβλίον Βʹ,Medicine,grc/aetius-amida-medical-book-ii-vhc-ag.grc.md,367754,561
vhc,vhc-ac,aetius-of-amida,aetius-amida-medical-book-iii,Medical Book III,Ἰατρικὸν Βιβλίον Γʹ,Medicine,grc/aetius-amida-medical-book-iii-vhc-ac.grc.md,345119,565
vhc,vhc-ah,aetius-of-amida,aetius-amida-medical-book-iv,Medical Book IV,Ἰατρικὸν Βιβλίον Δʹ,Medicine,grc/aetius-amida-medical-book-iv-vhc-ah.grc.md,184015,561
vhc,vhc-ai,aetius-of-amida,aetius-amida-medical-book-ix,Medical Book IX,Ἰατρικὸν Βιβλίον Θʹ,Medicine,grc/aetius-amida-medical-book-ix-vhc-ai.grc.md,445887,561
vhc,vhc-an,aetius-of-amida,aetius-amida-medical-book-v,Medical Book V,Ἰατρικὸν Βιβλίον Εʹ,Medicine,grc/aetius-amida-medical-book-v-vhc-an.grc.md,406216,557
vhc,vhc-aj,aetius-of-amida,aetius-amida-medical-book-6,Medical Book VI,Ἰατρικὸν Βιβλίον Ϛʹ,Medicine,grc/aetius-amida-medical-book-6-vhc-aj.grc.md,432190,559
vhc,vhc-ad,aetius-of-amida,aetius-amida-medical-book-vii,Medical Book VII,Ἰατρικὸν Βιβλίον Ζʹ,Medicine,grc/aetius-amida-medical-book-vii-vhc-ad.grc.md,481477,565
vhc,vhc-aa,aetius-of-amida,aetius-amida-medical-book-viii,Medical Book VIII,Ἰατρικὸν Βιβλίον Ηʹ,Medicine,grc/aetius-amida-medical-book-viii-vhc-aa.grc.md,514968,569
vhc,vhc-ak,aetius-of-amida,aetius-amida-medical-book-xi,Medical Book XI,Ἰατρικὸν Βιβλίον ΙΑʹ,Medicine,grc/aetius-amida-medical-book-xi-vhc-ak.grc.md,239802,565
vhc,vhc-ae,aetius-of-amida,aetius-amida-medical-book-12,Medical Book XII,Ἰατρικὸν Βιβλίον ΙΒʹ,Medicine,grc/aetius-amida-medical-book-12-vhc-ae.grc.md,320419,567
vhc,vhc-ab,aetius-of-amida,aetius-amida-medical-book-13,Medical Book XIII,Ἰατρικὸν Βιβλίον ΙΓʹ,Medicine,grc/aetius-amida-medical-book-13-vhc-ab.grc.md,63125,569
vhc,vhc-al,aetius-of-amida,aetius-amida-medical-book-xv,Medical Book XV,Ἰατρικὸν Βιβλίον ΙΕʹ,Medicine,grc/aetius-amida-medical-book-xv-vhc-al.grc.md,329023,565
vhc,vhc-af,aetius-of-amida,aetius-amida-medical-book-xvi,Medical Book XVI,Ἰατρικὸν Βιβλίον ΙϚʹ,Medicine,grc/aetius-amida-medical-book-xvi-vhc-af.grc.md,502229,569
ovu,ovu-aa,aetius-the-doxographer,aetius-doctrines-remnants,Opinions (Stobaean Tradition),Περὶ Δογμάτων Ἀπολείμματα,Philosophy,grc/aetius-doctrines-remnants-ovu-aa.grc.md,146756,602
ovu,ovu-ab,aetius-the-doxographer,aetius-doctrines-remnants,Opinions (Theodoret Tradition),Περὶ Δογμάτων Ἀπολείμματα,Philosophy,grc/aetius-doctrines-remnants-ovu-ab.grc.md,31291,602
qjk,qjk-aa,agaclytus-the-historian,agaclytus-olympic-dedications,On the Olympic Dedications,Ἀπόσπασμα,History,grc/agaclytus-olympic-dedications-qjk-aa.grc.md,3447,540
dbq,dbq-aa,agamestor,agamestor-achilles-naming,Fragments on Achilles' Naming,Ἀποσπάσματα περὶ τῆς τοῦ Ἀχιλλέως Ὀνομασίας,Poetry,grc/agamestor-achilles-naming-dbq-aa.grc.md,1333,663
lue,lue-aa,agatharchides-of-cnidus,agatharchides-cnidus-red-sea,Excerpts from Agatharchides-the Red Sea,Ἐκλογαὶ Ἀγαθαρχίδου περὶ Ἐρυθρᾶς Θαλάσσης,Geography,grc/agatharchides-cnidus-red-sea-lue-aa.grc.md,154150,702
lue,lue-ab,agatharchides-of-cnidus,agatharchides-cnidus-uncertain-fragments,Fragments of Uncertain Placement,Ἀποσπάσματα Ἀδήλου Θέσεως,Geography,grc/agatharchides-cnidus-uncertain-fragments-lue-ab.grc.md,7040,644
lue,lue-ad,agatharchides-of-cnidus,agatharchides-cnidus-asia-egypt-fragments,Fragments on Asia and Egypt,Ἀποσπάσματα περὶ Ἀσίας καὶ Αἰγύπτου,Geography,grc/agatharchides-cnidus-asia-egypt-fragments-lue-ad.grc.md,79244,683
lue,lue-ac,agatharchides-of-cnidus,agatharchides-cnidus-testimonies,Testimonies,Μαρτυρίαι,Geography,grc/agatharchides-cnidus-testimonies-lue-ac.grc.md,7811,527
luy,luy-aa,agatharchides-of-samos,agatharchides-samos-persian-wars,Fragments on Persian Wars,Ἀποσπάσματα περὶ τῶν Περσικῶν Πολέμων,History,grc/agatharchides-samos-persian-wars-luy-aa.grc.md,3818,664
rps,rps-aa,agathemerus-the-geographer,agathemerus-geography,InformatiGeography,Πληροφορίαι περὶ γεωγραφίας,Geography,grc/agathemerus-geography-rps-aa.grc.md,25797,594
izw,izw-aa,agathocles-of-cyzicus,agathocles-cyzicus-legends,On Cyzicus and Its Legends,Ἀποσπάσματα,History,grc/agathocles-cyzicus-legends-izw-aa.grc.md,8417,550
izw,izw-ab,agathocles-of-cyzicus,agathocles-cyzicus-pontus-river,On the Pontus River,Ἀπόσπασμα,History,grc/agathocles-cyzicus-pontus-river-izw-ab.grc.md,1066,538
pua,pua-aa,agathodaemon-of-alexandria,agathodaemon-alexandria-oracle,"Agathodaemthe Oracle of Orpheus, Collection and Commentary",Ἀγαθοδαίμων εἰς τὸν χρησμὸν Ὀρφέως συναγωγὴ καὶ,Science,grc/agathodaemon-alexandria-oracle-pua-aa.grc.md,11678,779
eaq,eaq-aa,agathon-of-athens,agathon-athens-art-chance-frailty,"On Art, Chance, and Human Frailty",Ἀποσπάσματα,Drama,grc/agathon-athens-art-chance-frailty-eaq-aa.grc.md,5448,568
dca,dca-aa,agathon-of-samos,agathon-samos-scythian-egyptian-histories,Scythian and Egyptian Histories,Ἀποσπάσματα,History,grc/agathon-samos-scythian-egyptian-histories-dca-aa.grc.md,5138,578
ezg,ezg-aa,agesilaus-ii-of-sparta,agesilaus-sparta-italian-gods,On the Italian Gods,Ἀπόσπασμα,History,grc/agesilaus-sparta-italian-gods-ezg-aa.grc.md,1231,528
aby,aby-aa,agias-of-troezen,agias-troezen-histories-myths,Argolic Histories and Myths,Ἀποσπάσματα,History,grc/agias-troezen-histories-myths-aby-aa.grc.md,2398,547
qja,qja-ab,aglaias-of-byzantium,aglaias-byzantium-medical-recipe,Medical Recipe for Demetrius,Ἀπόσπασμα,Poetry,grc/aglaias-byzantium-medical-recipe-qja-ab.grc.md,3455,549
qja,qja-aa,aglaias-of-byzantium,aglaias-byzantium-initial-discharges,To the Initial Discharges,Πρὸς τὰς ἀρχομένας ὑποχύσεις,Poetry,grc/aglaias-byzantium-initial-discharges-qja-aa.grc.md,3260,627
hlm,hlm-aa,aglaosthenes-naxius,aglaosthenes-naxius-mythological-fragments,Naxian Mythological Fragments,Ἀποσπάσματα,History,grc/aglaosthenes-naxius-mythological-fragments-hlm-aa.grc.md,5070,582
kbe,kbe-aa,agroetas,agroetas-libyan-myths,Libyan Myths and Genealogies,Ἀποσπάσματα,History,grc/agroetas-libyan-myths-kbe-aa.grc.md,4195,518
nhu,nhu-ab,akesandros-the-historian,akesandros-cyrenean-myths,Fragments on Cyrenean Myths,Ἀποσπάσματα περὶ τῶν Κυρηναϊκῶν Μύθων,History,grc/akesandros-cyrenean-myths-nhu-ab.grc.md,1724,658
nhu,nhu-aa,akesandros-the-historian,akesandros-mythological-genealogy,Fragments on Mythological Genealogy,Ἀποσπάσματα περὶ Μυθολογικῆς Γενεαλογίας,History,grc/akesandros-mythological-genealogy-nhu-aa.grc.md,7536,707
qhm,qhm-aa,albinus-the-platonist,albinus-plato-dialogues-intro,Introduction to the Dialogues of Plato,Εἰσαγογὴ εἰς τοὺς Πλάτωνος διαλόγους,Philosophy,grc/albinus-plato-dialogues-intro-qhm-aa.grc.md,18205,686
qhm,qhm-ab,albinus-the-platonist,albinus-plato-doctrines,Teaching of Plato's Doctrines,Διδασκαλικὸς τῶν Πλάτωνος δογμάτων,Philosophy,grc/albinus-plato-doctrines-qhm-ab.grc.md,158768,648
asm,asm-aa,alcaeus-of-mytilene,alcaeus-mytilene-marriage-kingship,Fragments on Marriage and Kingship,Ἀποσπάσματα περὶ Γάμου καὶ Βασιλείας,Poetry,grc/alcaeus-mytilene-marriage-kingship-asm-aa.grc.md,92525,664
asm,asm-ab,alcaeus-of-mytilene,alcaeus-mytilene-war-exile,Fragments on War and Exile,Ἀποσπάσματα περὶ Πολέμου καὶ Φυγῆς,Poetry,grc/alcaeus-mytilene-war-exile-asm-ab.grc.md,8734,626
fim,fim-ab,alcaeus-the-comic-poet,alcaeus-comic-daily-life,Comic Fragments on Daily Life,Ἀποσπάσματα περὶ Βίου Καθημερινοῦ Κωμικά,Comedy,grc/alcaeus-comic-daily-life-fim-ab.grc.md,2820,670
fim,fim-aa,alcaeus-the-comic-poet,alcaeus-comic-daily-life,Fragments on Daily Life,Ἀποσπάσματα περὶ Βίου Καθημερινοῦ,Comedy,grc/alcaeus-comic-daily-life-fim-aa.grc.md,3371,632
fim,fim-ac,alcaeus-the-comic-poet,alcaeus-comic-homeric-parody,On Homeric Parody,Ἀπόσπασμα,Comedy,grc/alcaeus-comic-homeric-parody-fim-ac.grc.md,1364,534
rrg,rrg-bv,alchemist-i,alchemist-i-fragment,Alchemical Fragment,Ἀλχημικὸν Ἀπόσπασμα,Science,grc/alchemist-i-fragment-rrg-bv.grc.md,2434,539
rrg,rrg-br,alchemist-i,alchemist-i-fragment,Alchemical Fragment,Χημικὸν Ἀπόσπασμα,Science,grc/alchemist-i-fragment-rrg-br.grc.md,1423,529
rrg,rrg-bs,alchemist-i,alchemist-i-fragment,Alchemical Fragment,Χημικὸν Ἀπόσπασμα,Science,grc/alchemist-i-fragment-rrg-bs.grc.md,2649,529
rrg,rrg-bx,alchemist-i,alchemist-i-fragment,Alchemical Fragment,Χημικὸν Ἀπόσπασμα,Science,grc/alchemist-i-fragment-rrg-bx.grc.md,1678,529
